GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_386: Average age,v_CA21_452: Average household size,v_CA21_560: Median total income in 2020 among recipients ($),v_CA21_4311: Median value of dwellings ($) (60)
35060944,DA,35060944,0.2124,660,231,230,42.7,2.9,50000,650000
35060945,DA,35060945,0.0957,453,157,152,36.1,3,39200,650000
35060953,DA,35060953,0.1271,695,227,224,38.2,3.1,33200,700000
35060954,DA,35060954,0.0561,369,113,113,36.5,3.3,38000,650000
35060955,DA,35060955,0.3108,1396,437,430,38.9,3.3,38400,670000
35060956,DA,35060956,0.0985,599,204,200,40.0,3,42800,600000
35060957,DA,35060957,0.3249,1328,609,575,35.1,2.3,28000,348000
35060961,DA,35060961,0.453,1275,432,410,63.5,1.9,52000,600000
35060968,DA,35060968,0.2278,668,245,233,48.4,2.4,51200,500000
35060970,DA,35060970,0.3722,1548,862,841,35.4,1.8,36800,628000
35060972,DA,35060972,0.7858,3459,1965,1810,33.8,1.9,34000,300000
35060973,DA,35060973,0.4437,967,572,546,67.4,1.8,66000,528000
35060974,DA,35060974,0.5055,487,257,244,46.0,2,54000,800000
35060975,DA,35060975,0.3406,1535,771,735,50.1,2,47200,500000
35060976,DA,35060976,0.0496,522,237,220,34.8,2.4,31400,
35060977,DA,35060977,0.1226,571,256,239,37.2,2.4,50000,600000
35060978,DA,35060978,0.1366,792,339,312,35.9,2.5,40000,500000
35060979,DA,35060979,0.1524,670,515,480,44.8,1.4,24800,
35060984,DA,35060984,0.0752,501,214,198,37.7,2.5,31200,548000
35060985,DA,35060985,0.0783,459,134,131,31.0,3.5,28200,
35060986,DA,35060986,0.0589,506,150,140,30.2,3.6,28800,
35060987,DA,35060987,0.0619,491,182,175,34.2,2.8,29000,552000
35060988,DA,35060988,0.2543,672,276,255,41.6,2.6,42400,600000
35060989,DA,35060989,0.6841,607,285,270,35.4,2.2,23800,
35060990,DA,35060990,0.0483,467,150,145,31.8,3.1,30600,
35060991,DA,35060991,0.7928,611,294,284,43.6,2.2,49600,592000
35061001,DA,35061001,0.0846,843,485,468,42.0,1.8,36000,300000
35061018,DA,35061018,0.1944,509,280,264,42.6,1.9,46800,800000
35061019,DA,35061019,0.0532,397,263,239,41.3,1.7,34800,690000
35061020,DA,35061020,0.0471,859,685,628,60.7,1.4,54800,755000
35061026,DA,35061026,0.0669,467,251,220,39.0,2.1,49600,900000
35061027,DA,35061027,0.0331,310,184,154,33.0,1.9,39600,
35061030,DA,35061030,0.0746,550,334,300,44.1,1.8,41600,500000
35061031,DA,35061031,0.143,721,377,357,46.5,2,56400,650000
35061033,DA,35061033,0.4216,491,184,177,43.6,2.8,83000,950000
35061034,DA,35061034,0.2059,479,184,176,44.6,2.7,66500,1000000
35061035,DA,35061035,0.1727,421,156,153,43.6,2.8,81000,950000
35061036,DA,35061036,0.3817,581,221,216,43.5,2.7,81000,900000
35061039,DA,35061039,0.2165,647,346,330,40.8,2,47200,700000
35061041,DA,35061041,0.0231,599,454,431,56.2,1.4,22600,250000
35061042,DA,35061042,0.9629,694,331,307,46.8,1.8,37600,484000
35061043,DA,35061043,0.1012,577,285,270,37.7,2.1,39200,600000
35061044,DA,35061044,0.1122,419,229,204,42.7,2.1,36800,604000
35061045,DA,35061045,0.0997,512,259,229,37.6,2.2,36000,500000
35061046,DA,35061046,0.2563,595,316,270,35.5,2.2,32800,552000
35061047,DA,35061047,0.3264,751,309,298,42.9,2.5,44800,552000
35061051,DA,35061051,0.206,537,214,211,44.8,2.5,66500,900000
35061053,DA,35061053,0.3641,575,225,216,42.6,2.7,65500,700000
35061054,DA,35061054,0.2564,431,161,153,44.0,2.8,73500,800000
35061055,DA,35061055,0.2379,691,284,275,44.3,2.5,52800,780000
35061056,DA,35061056,0.1626,709,227,219,39.9,3.2,38800,500000
35061057,DA,35061057,0.0632,242,95,91,41.6,2.7,,552000
35061067,DA,35061067,4.7378,637,270,253,42.8,2.5,49600,750000
35061069,DA,35061069,0.0783,338,130,125,41.2,2.7,46000,650000
35061070,DA,35061070,0.1947,621,298,292,42.9,2.1,57200,600000
35061071,DA,35061071,0.0793,587,303,291,35.4,2,44800,452000
35061072,DA,35061072,0.1678,486,209,199,38.1,2.4,51200,552000
35061073,DA,35061073,0.0717,599,213,204,38.4,2.4,36000,500000
35061074,DA,35061074,0.1657,489,254,233,45.2,2.1,40400,600000
35061075,DA,35061075,0.0325,486,392,351,43.8,1.4,21800,500000
35061076,DA,35061076,0.1085,492,236,220,38.7,2.2,41200,500000
35061077,DA,35061077,0.1558,551,265,255,43.3,2.2,44800,600000
35061078,DA,35061078,0.9389,663,223,208,29.9,3.2,33600,500000
35061079,DA,35061079,0.0627,552,301,266,35.0,2.1,32400,548000
35061080,DA,35061080,0.0338,425,214,183,35.7,2.3,28600,
35061081,DA,35061081,0.0344,963,382,365,28.3,2.6,25800,
35061082,DA,35061082,0.0417,501,291,249,36.0,2,31200,
35061083,DA,35061083,0.1036,627,296,284,37.4,2.2,39600,500000
35061084,DA,35061084,0.0676,536,252,225,33.4,2.3,32000,476000
35061085,DA,35061085,0.0697,457,163,154,31.4,3,39200,600000
35061086,DA,35061086,0.1824,893,447,422,44.5,1.8,41600,548000
35061087,DA,35061087,0.1642,569,268,257,41.5,2.2,55200,604000
35061089,DA,35061089,0.1981,659,240,235,41.8,2.8,85000,1000000
35061090,DA,35061090,0.4839,632,192,186,47.8,2.8,51200,600000
35061091,DA,35061091,0.1932,431,195,189,44.6,2.3,59600,800000
35061092,DA,35061092,0.3063,542,186,183,44.3,2.8,76500,1000000
